,FIPS,Date,Confirmed,Deaths,New Cases,New Deaths,"Cases, 7DMA","Deaths, 7DMA","New Cases Per 100k, 7DMA",Deaths Per 100k
1760,32029,2020-09-08,9,0,0,0,0,0,0,0
1761,32031,2020-09-08,7745,146,70,0,69,1,15,31
1762,32033,2020-09-08,38,1,0,0,2,0,21,10
1763,32510,2020-09-08,460,8,0,0,4,0,7,14
1764,33001,2020-09-08,126,4,0,0,0,0,0,7
1765,33003,2020-09-08,111,1,0,0,1,0,2,2
1766,33005,2020-09-08,140,3,2,0,2,0,3,4
1767,33007,2020-09-08,20,0,0,0,0,0,0,0
1768,33009,2020-09-08,122,1,2,0,1,0,1,1
1769,33011,2020-09-08,4121,287,0,0,10,0,2,69
1770,33013,2020-09-08,518,23,1,0,2,0,1,15
1771,33015,2020-09-08,1858,100,11,0,6,0,2,32
1772,33017,2020-09-08,427,13,1,0,5,0,4,10
1773,33019,2020-09-08,48,1,0,0,0,0,0,2
1774,34001,2020-09-08,3827,253,7,1,9,0,3,96
1775,34003,2020-09-08,21844,2038,28,0,26,0,3,219
1776,34005,2020-09-08,6606,483,25,0,26,0,6,108
1777,34007,2020-09-08,9355,594,19,0,25,1,5,117
1778,34009,2020-09-08,944,94,5,0,5,0,5,102
1779,34011,2020-09-08,3638,156,8,0,7,0,5,104
1780,34013,2020-09-08,20545,2121,17,1,25,1,3,265
1781,34015,2020-09-08,3853,223,23,0,21,1,7,76
1782,34017,2020-09-08,20293,1512,7,0,19,1,3,225
1783,34019,2020-09-08,1235,125,1,0,3,0,2,101
1784,34021,2020-09-08,8432,632,10,0,13,0,4,172
1785,34023,2020-09-08,18625,1420,22,1,22,0,3,172
1786,34025,2020-09-08,10966,860,15,1,29,0,5,139
1787,34027,2020-09-08,7592,830,11,1,12,0,2,169
1788,34029,2020-09-08,11522,1030,27,0,44,1,7,170
1789,34031,2020-09-08,18533,1248,13,0,22,0,4,249
1790,34033,2020-09-08,999,89,5,0,3,0,5,143
1791,34035,2020-09-08,5481,566,3,0,8,0,2,172
1792,34037,2020-09-08,1421,197,5,0,3,0,2,140
1793,34039,2020-09-08,17238,1354,20,0,16,0,3,243
1794,34041,2020-09-08,1411,171,3,0,2,0,2,162
1795,35001,2020-09-08,5979,161,21,0,20,0,3,24
1796,35003,2020-09-08,11,1,0,0,1,0,28,28
1797,35005,2020-09-08,820,7,4,0,13,0,20,11
1798,35006,2020-09-08,397,20,-1,0,0,0,0,75
1799,35007,2020-09-08,23,1,-1,0,1,0,8,8
1800,35009,2020-09-08,707,5,1,0,5,0,10,10
1801,35011,2020-09-08,0,0,0,0,0,0,0,0
1802,35013,2020-09-08,2955,48,0,0,14,1,6,22
1803,35015,2020-09-08,584,5,4,0,12,0,21,9
1804,35017,2020-09-08,89,2,1,0,1,0,4,7
1805,35019,2020-09-08,32,1,0,0,0,0,0,23
1806,35021,2020-09-08,2,0,0,0,0,0,0,0
1807,35023,2020-09-08,98,2,0,0,0,0,0,48
1808,35025,2020-09-08,1205,16,1,0,10,0,14,23
1809,35027,2020-09-08,175,2,0,0,1,0,5,10
1810,35028,2020-09-08,27,0,0,0,0,0,0,0
1811,35029,2020-09-08,342,5,1,0,4,0,17,21
1812,35031,2020-09-08,4244,249,0,0,4,1,6,349
1813,35033,2020-09-08,6,0,0,0,0,0,0,0
1814,35035,2020-09-08,228,12,0,0,1,0,1,18
1815,35037,2020-09-08,64,2,0,0,0,0,0,24
1816,35039,2020-09-08,370,13,1,0,2,0,5,33
1817,35041,2020-09-08,210,3,0,0,1,0,5,16
1818,35043,2020-09-08,1262,37,0,0,1,0,1,25
1819,35045,2020-09-08,3220,194,2,0,4,0,3,157
1820,35047,2020-09-08,87,0,0,0,1,0,4,0
1821,35049,2020-09-08,868,4,2,0,6,0,4,3
1822,35051,2020-09-08,38,1,0,0,0,0,0,9
1823,35053,2020-09-08,78,6,0,0,0,0,0,36
1824,35055,2020-09-08,118,3,0,0,0,0,0,9
1825,35057,2020-09-08,63,1,0,0,0,0,0,6
1826,35059,2020-09-08,31,2,0,0,0,0,0,49
1827,35061,2020-09-08,527,4,1,0,2,0,3,5
1828,36001,2020-09-08,2840,133,7,0,8,0,3,44
1829,36003,2020-09-08,92,1,0,0,0,0,0,2
1830,36005,2020-09-08,51984,4927,40,3,46,2,3,347
1831,36007,2020-09-08,1374,69,9,0,9,0,5,36
1832,36009,2020-09-08,233,6,3,0,4,0,5,8
